MSE,Total Parameters,Total Units,Hidden Layers
0.49067722595532737,73,24,1
0.4880768891334534,145,48,1
0.4929335360209147,217,72,1
0.4893075747330983,385,128,1
0.48883474427858986,769,256,1
0.43186968010266624,241,24,2
0.38604986580212913,769,48,2
0.2293247272292773,1585,72,2
0.20095339233875276,233,24,3
0.14736255014936128,721,48,3
0.006007452589149276,1465,72,3
